epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.61558,2.63102,7.38105,1.82722,0.00048,0.12048,0.00029,0.00013,2.76706,7.25773,2.07791,0.0991,0.0001,0.0001
2,3.02058,2.87152,7.55214,1.83728,0.00048,0.12048,0.00029,0.00013,2.76741,7.24736,2.07197,0.097297,0.00029703,0.00029703
3,4.40594,2.69456,7.16728,1.77266,0.00051,0.12651,0.00031,0.00013,2.76181,7.25753,2.06711,0.0954901,0.0004901,0.0004901
4,5.79022,2.639,7.09916,1.71968,0.00048,0.12048,0.0003,0.00013,2.75642,7.18437,2.05822,0.0936792,0.00067921,0.00067921
5,7.19602,2.90972,7.90971,1.78867,0.00048,0.12048,0.00031,0.00015,2.73554,7.12992,2.01801,0.0918644,0.00086436,0.00086436
6,8.58696,2.83053,6.57846,1.75546,0.00053,0.13253,0.00034,0.00014,2.70134,6.57612,1.9841,0.0900456,0.00104555,0.00104555
7,9.98946,2.66779,6.38198,1.69045,0.00058,0.14458,0.00039,0.00019,2.72086,6.41518,1.93777,0.0882228,0.00122278,0.00122278
8,11.3925,2.40091,5.46091,1.46932,0.00075,0.18675,0.00051,0.00022,2.67791,6.28623,1.88727,0.0863961,0.00139605,0.00139605
9,12.7982,2.7957,5.44098,1.57388,0.00082,0.20482,0.0009,0.00058,2.55924,4.76946,1.79472,0.0845654,0.00156536,0.00156536
10,14.1986,2.52421,5.28443,1.44078,0.00111,0.27711,0.00088,0.0004,2.55779,4.72647,1.72241,0.0827307,0.00173071,0.00173071
11,15.5927,2.57129,4.87892,1.52503,0.00123,0.30723,0.00097,0.00041,2.49213,4.40351,1.72386,0.0808921,0.0018921,0.0018921
12,16.9871,2.31182,4.65648,1.3825,0.00109,0.27108,0.00089,0.0004,2.46662,4.43461,1.76051,0.0790495,0.00204953,0.00204953
13,18.3811,2.12404,4.42918,1.27617,0.00138,0.34337,0.00139,0.0006,2.42142,4.37398,1.68836,0.077203,0.002203,0.002203
14,19.7825,2.16776,4.15042,1.21565,0.00198,0.49398,0.00263,0.00107,2.46529,4.33818,1.6316,0.0753525,0.00235251,0.00235251
15,21.1812,2.51305,4.14093,1.35065,0.00213,0.53012,0.00265,0.00086,2.44084,4.26494,1.66356,0.0734981,0.00249806,0.00249806
16,22.5675,2.01717,3.5255,1.3192,0.00216,0.51205,0.0025,0.00086,2.40271,4.24777,1.6394,0.0716396,0.00263965,0.00263965
17,23.93,2.37434,3.78705,1.54421,0.00317,0.56627,0.00304,0.001,2.51391,4.23042,1.63435,0.0697773,0.00277728,0.00277728
18,25.3073,2.16457,3.047,1.40227,0.00394,0.53614,0.00319,0.00114,2.36219,4.17906,1.60551,0.0679109,0.00291095,0.00291095
19,26.6914,2.00643,2.86762,1.34267,0.00403,0.53012,0.00315,0.00112,2.43003,4.14211,1.60498,0.0660407,0.00304066,0.00304066
20,28.0631,2.04927,2.87374,1.28158,0.00439,0.51205,0.00333,0.00119,2.38769,4.19403,1.54909,0.0641664,0.00316641,0.00316641
21,29.4222,1.77259,2.71849,1.25084,0.00376,0.44578,0.00279,0.00102,2.39361,4.20172,1.57649,0.0622882,0.0032882,0.0032882
22,30.7825,1.90788,3.18586,1.19588,0.00375,0.43373,0.00279,0.00096,2.43093,4.24886,1.58518,0.060406,0.00340603,0.00340603
23,32.1503,2.08407,2.85001,1.34035,0.00385,0.45181,0.00531,0.00235,2.51348,4.20662,1.76188,0.0585199,0.0035199,0.0035199
24,33.5348,1.92623,2.48948,1.3208,0.00356,0.38554,0.00924,0.00492,2.48964,4.20151,1.73221,0.0566298,0.00362981,0.00362981
25,34.9141,1.96617,2.55996,1.27646,0.00334,0.33735,0.01018,0.00708,2.5295,4.2796,1.78652,0.0547358,0.00373576,0.00373576
26,36.2857,1.78673,2.32748,1.21106,0.0037,0.38554,0.0114,0.00645,2.39202,4.21553,1.58232,0.0528378,0.00383775,0.00383775
27,37.6529,1.76918,2.41998,1.18264,0.0035,0.37349,0.00467,0.00143,2.61606,4.25456,1.6279,0.0509358,0.00393578,0.00393578
28,39.0229,2.0266,2.28478,1.21909,0.00395,0.46988,0.02737,0.01016,2.42805,4.14684,1.58304,0.0490298,0.00402985,0.00402985
29,40.3936,1.77076,2.1085,1.20731,0.00368,0.50602,0.06668,0.01842,2.36469,4.12212,1.53076,0.04712,0.00411996,0.00411996
30,41.7694,1.93365,2.37023,1.28808,0.00385,0.48193,0.06308,0.01807,2.45266,4.12493,1.56644,0.0452061,0.00420611,0.00420611
31,43.1426,1.90493,2.40468,1.20534,0.00395,0.48193,0.08326,0.02752,2.51895,4.15153,1.57151,0.0432883,0.0042883,0.0042883
32,44.5109,1.92096,2.22925,1.22153,0.00383,0.48193,0.09682,0.02799,2.47044,4.15418,1.66404,0.0413665,0.00436653,0.00436653
33,45.8868,2.01833,1.97893,1.24488,0.00348,0.45783,0.1084,0.02896,2.45124,4.08333,1.65181,0.0394408,0.0044408,0.0044408
34,47.267,1.80943,2.10793,1.19115,0.00314,0.42169,0.06469,0.02143,2.46293,4.07684,1.61064,0.0375111,0.00451111,0.00451111
35,48.6368,1.87382,2.03954,1.27722,0.00299,0.42169,0.09723,0.03012,2.35514,3.99763,1.59088,0.0355775,0.00457746,0.00457746
36,50.0177,1.88605,2.04754,1.20061,0.00312,0.45181,0.05874,0.01817,2.62446,3.91147,1.68816,0.0336398,0.00463985,0.00463985
37,51.3989,1.66899,2.08348,1.14836,0.00421,0.66265,0.14262,0.04504,2.54058,3.71642,1.62073,0.0316983,0.00469828,0.00469828
38,52.7763,1.81109,2.14741,1.16667,0.00381,0.5241,0.15092,0.04131,2.42515,3.73406,1.66879,0.0297527,0.00475275,0.00475275
39,54.1589,1.94411,2.27956,1.25144,0.00432,0.54819,0.08253,0.03249,2.48458,3.73585,1.6534,0.0278033,0.00480326,0.00480326
40,55.5411,1.8483,1.68279,1.1227,0.00443,0.65663,0.18462,0.06052,2.52087,3.61372,1.66512,0.0258498,0.00484981,0.00484981
41,56.9186,1.99114,1.85875,1.22687,0.0041,0.63253,0.16457,0.05864,2.47741,3.58613,1.63661,0.0238924,0.0048924,0.0048924
42,58.3018,1.8552,1.7895,1.21614,0.00298,0.51807,0.10439,0.03259,2.46567,3.77524,1.77555,0.021931,0.00493103,0.00493103
43,59.6909,1.8654,1.77923,1.10888,0.921,0.03012,0.15106,0.04577,2.46218,3.49294,1.62103,0.0199657,0.0049657,0.0049657
44,61.0673,1.87429,1.76772,1.25288,0.00402,0.64458,0.16489,0.04898,2.4425,3.40619,1.65452,0.0179964,0.00499641,0.00499641
45,62.4448,1.92535,1.76285,1.16847,0.00407,0.60843,0.16575,0.04204,2.48125,3.49251,1.63937,0.0160232,0.00502316,0.00502316
46,63.817,1.94066,1.76106,1.17132,0.30103,0.02603,0.1057,0.03476,2.50441,3.31472,1.76909,0.0140459,0.00504595,0.00504595
47,65.1792,1.83779,1.77497,1.20892,0.26725,0.04217,0.06984,0.02415,2.55737,3.47416,1.81518,0.0120648,0.00506478,0.00506478
48,66.5513,1.97684,1.66793,1.15831,0.35284,0.0241,0.14541,0.04322,2.55267,3.29503,1.73636,0.0100797,0.00507965,0.00507965
49,67.92,1.81734,1.73643,1.23925,0.45548,0.02529,0.14654,0.04672,2.46195,3.29904,1.67116,0.00809056,0.00509056,0.00509056
50,69.2937,1.91143,1.64494,1.15684,0.43879,0.0241,0.11293,0.03588,2.5085,3.33818,1.67247,0.00609751,0.00509751,0.00509751
51,70.6666,1.8228,1.82604,1.22178,0.45517,0.0241,0.09302,0.0277,2.51799,3.35879,1.69849,0.00505,0.00505,0.00505
52,72.0371,1.91236,1.7204,1.24777,0.10793,0.04217,0.02703,0.00807,2.76526,3.657,1.73573,0.004951,0.004951,0.004951
53,73.3945,1.78634,1.61774,1.04777,0.42816,0.04067,0.07308,0.02125,2.62652,3.60011,1.78393,0.004852,0.004852,0.004852
54,74.7687,1.85517,1.71409,1.17257,0.41705,0.03012,0.07561,0.01743,2.68814,3.43257,1.72724,0.004753,0.004753,0.004753
55,76.1355,1.92112,1.67262,1.19985,0.50178,0.05422,0.13917,0.04499,2.47451,3.23472,1.64975,0.004654,0.004654,0.004654
56,77.5098,1.86853,1.53655,1.16427,0.29046,0.07229,0.09409,0.02779,2.59597,3.27992,1.71569,0.004555,0.004555,0.004555
57,78.8884,1.76486,1.48336,1.15143,0.05744,0.06627,0.02468,0.00703,2.61751,3.45186,1.8171,0.004456,0.004456,0.004456
58,80.2614,1.60166,1.40493,1.06015,0.17529,0.04217,0.0352,0.01578,2.53951,3.63158,1.91333,0.004357,0.004357,0.004357
59,81.6403,1.85239,1.75883,1.15642,0.35567,0.06024,0.10112,0.03315,2.46908,3.35389,1.81373,0.004258,0.004258,0.004258
60,83.0142,1.60631,1.39877,1.1124,0.60823,0.09358,0.15272,0.05393,2.55532,3.25653,1.91043,0.004159,0.004159,0.004159
61,84.3742,2.18745,1.82894,1.36664,0.48036,0.03354,0.08158,0.02899,2.75837,3.61402,1.96946,0.00406,0.00406,0.00406
62,85.7296,1.76622,1.60307,1.11018,0.50099,0.05444,0.11358,0.03335,2.73233,3.53647,1.94546,0.003961,0.003961,0.003961
63,87.0949,1.70121,1.42872,1.12867,0.41448,0.03012,0.07592,0.02172,2.72053,3.71349,2.04729,0.003862,0.003862,0.003862
64,88.4631,1.68692,1.52526,1.14581,0.41279,0.03398,0.07958,0.0273,2.70873,3.74491,2.07413,0.003763,0.003763,0.003763
65,89.833,1.76315,1.5266,1.14661,0.21235,0.04819,0.07424,0.02536,2.67325,3.71576,2.08728,0.003664,0.003664,0.003664
66,91.1967,1.73469,1.54371,1.21281,0.34773,0.1381,0.11844,0.04096,2.66533,3.42783,2.05897,0.003565,0.003565,0.003565
67,92.5538,1.65864,1.34002,1.10328,0.30092,0.13855,0.12215,0.04284,2.70078,3.41688,2.05147,0.003466,0.003466,0.003466
68,93.9154,1.68369,1.49925,1.15026,0.30419,0.1747,0.17038,0.06267,2.60938,3.13435,2.01154,0.003367,0.003367,0.003367
69,95.2943,1.69611,1.45931,1.16779,0.43758,0.04217,0.08445,0.0293,2.76943,3.82021,2.1692,0.003268,0.003268,0.003268
70,96.6573,1.54653,1.31079,1.05053,0.42309,0.03539,0.0543,0.01992,2.82819,3.84048,2.27943,0.003169,0.003169,0.003169
71,98.0313,1.48253,1.35087,1.08145,0.29058,0.16265,0.14102,0.05194,2.70048,3.25442,2.16876,0.00307,0.00307,0.00307
72,99.4037,1.60002,1.31029,1.05625,0.49043,0.20874,0.2328,0.07824,2.5768,2.82822,1.98894,0.002971,0.002971,0.002971
73,100.773,1.53036,1.34684,1.05741,0.43479,0.24096,0.25118,0.08283,2.64009,2.6797,2.01528,0.002872,0.002872,0.002872
74,102.142,1.56589,1.42097,1.05887,0.38795,0.27875,0.24938,0.08109,2.58354,2.56595,1.97751,0.002773,0.002773,0.002773
75,103.504,1.45678,1.2749,1.06458,0.36923,0.22289,0.20676,0.06896,2.64453,2.56409,1.95838,0.002674,0.002674,0.002674
76,104.862,1.49353,1.22414,1.03082,0.51894,0.24096,0.271,0.0855,2.58128,2.39666,1.94754,0.002575,0.002575,0.002575
77,106.247,1.52851,1.21772,1.03175,0.55365,0.26154,0.27874,0.09208,2.56607,2.33989,1.94925,0.002476,0.002476,0.002476
78,107.624,1.4213,1.31882,1.06387,0.46252,0.29031,0.28934,0.09561,2.61026,2.38029,1.96082,0.002377,0.002377,0.002377
79,108.985,1.55117,1.19108,1.01381,0.39909,0.3012,0.28735,0.10264,2.63886,2.36011,1.97677,0.002278,0.002278,0.002278
80,110.367,1.50291,1.14018,1.04746,0.5387,0.28313,0.30874,0.10858,2.59579,2.38196,1.96463,0.002179,0.002179,0.002179
81,111.741,1.44089,1.20715,1.07989,0.62599,0.25208,0.28957,0.09998,2.58265,2.44807,1.95285,0.00208,0.00208,0.00208
82,113.108,1.38504,1.11991,1.01274,0.54039,0.28313,0.29849,0.10466,2.57057,2.45593,1.95388,0.001981,0.001981,0.001981
83,114.477,1.40751,1.08948,1.01852,0.47259,0.24096,0.27188,0.08877,2.57983,2.60237,1.90133,0.001882,0.001882,0.001882
84,115.848,1.57229,1.24901,1.04874,0.45388,0.26535,0.27822,0.0868,2.60331,2.60123,1.90145,0.001783,0.001783,0.001783
85,117.219,1.47096,1.10947,1.01367,0.47869,0.30723,0.27628,0.08671,2.65582,2.54266,1.92844,0.001684,0.001684,0.001684
86,118.578,1.4579,1.08718,1.01167,0.5139,0.33133,0.31183,0.09634,2.59458,2.42069,1.92024,0.001585,0.001585,0.001585
87,119.934,1.29309,1.01521,0.98379,0.55155,0.31928,0.30369,0.09515,2.62983,2.48962,1.94377,0.001486,0.001486,0.001486
88,121.292,1.37361,1.19872,1.02025,0.5767,0.31928,0.30353,0.08732,2.65533,2.48846,1.92969,0.001387,0.001387,0.001387
89,122.658,1.2843,1.01191,0.97737,0.50263,0.3012,0.29486,0.09098,2.65757,2.45996,1.93666,0.001288,0.001288,0.001288
90,124.017,1.29796,1.11629,1.00887,0.49218,0.31325,0.30827,0.09534,2.62153,2.39898,1.94003,0.001189,0.001189,0.001189
91,125.407,1.19393,1.01339,0.98027,0.50557,0.28313,0.29657,0.10151,2.59225,2.35001,1.93658,0.00109,0.00109,0.00109
92,126.746,1.29005,1.07394,1.01105,0.48819,0.31325,0.3006,0.10655,2.55163,2.34931,1.94384,0.000991,0.000991,0.000991
93,128.066,1.30706,1.13123,0.99459,0.49634,0.31325,0.30724,0.10746,2.56371,2.37931,1.92364,0.000892,0.000892,0.000892
94,129.386,1.27999,1.01797,1.05288,0.49992,0.3494,0.32784,0.11099,2.55925,2.36198,1.91906,0.000793,0.000793,0.000793
95,130.729,1.29264,1.05986,1.01251,0.48156,0.34337,0.34258,0.1148,2.54619,2.25259,1.89109,0.000694,0.000694,0.000694
96,132.042,1.21428,0.96995,0.97795,0.48243,0.36145,0.36731,0.12295,2.53991,2.21739,1.8855,0.000595,0.000595,0.000595
97,133.378,1.13304,1.01506,0.99608,0.50237,0.34666,0.35903,0.12245,2.56014,2.26759,1.88514,0.000496,0.000496,0.000496
98,134.715,1.18676,0.98728,0.98007,0.52164,0.31928,0.3373,0.11898,2.55207,2.23395,1.87411,0.000397,0.000397,0.000397
99,136.041,1.16994,0.91366,0.99077,0.56373,0.31928,0.35285,0.11912,2.56146,2.23859,1.87098,0.000298,0.000298,0.000298
100,137.36,1.20914,0.98321,0.97056,0.56307,0.3253,0.35323,0.12046,2.57457,2.24478,1.87175,0.000199,0.000199,0.000199
