epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.60836,2.56772,7.38253,1.81316,0.00039,0.09639,0.00042,0.00023,2.76621,7.25452,2.07808,0.0991,0.0001,0.0001
2,3.05105,2.87381,7.74006,1.8376,0.00036,0.09036,0.00026,0.00012,2.76498,7.24439,2.07271,0.097297,0.00029703,0.00029703
3,4.50516,2.7,7.31175,1.76979,0.00039,0.09639,0.00032,0.00015,2.76106,7.25026,2.06728,0.0954901,0.0004901,0.0004901
4,5.91871,2.64168,7.11722,1.72733,0.00041,0.10241,0.00027,0.00012,2.76568,7.15388,2.06495,0.0936792,0.00067921,0.00067921
5,7.40389,2.89723,8.07693,1.78677,0.00041,0.10241,0.00026,0.00011,2.72562,7.09832,2.01291,0.0918644,0.00086436,0.00086436
6,8.82806,2.84484,6.5848,1.75079,0.00048,0.12048,0.00034,0.00017,2.68451,6.51647,1.9711,0.0900456,0.00104555,0.00104555
7,10.2379,2.62796,6.48991,1.70105,0.00048,0.12048,0.00033,0.00016,2.64434,6.51137,1.93742,0.0882228,0.00122278,0.00122278
8,11.639,2.27799,5.54603,1.51831,0.00048,0.12048,0.00032,0.00015,2.5951,6.29291,1.9134,0.0863961,0.00139605,0.00139605
9,13.0682,2.87468,5.54642,1.7123,0.00068,0.16867,0.00044,0.00016,2.54299,4.95277,1.85177,0.0845654,0.00156536,0.00156536
10,14.492,2.57818,5.25232,1.51176,0.00075,0.18675,0.0005,0.00021,2.51357,4.47675,1.78258,0.0827307,0.00173071,0.00173071
11,15.9229,2.56285,4.60289,1.54971,0.00075,0.18675,0.00055,0.00026,2.52053,4.41087,1.76375,0.0808921,0.0018921,0.0018921
12,17.3338,2.23191,4.29077,1.43152,0.00094,0.23494,0.00065,0.00025,2.47352,4.32939,1.73525,0.0790495,0.00204953,0.00204953
13,18.7456,2.24244,3.89009,1.39555,0.00104,0.25904,0.00078,0.00029,2.41216,4.28685,1.68329,0.077203,0.002203,0.002203
14,20.1726,2.12886,3.38146,1.27254,0.00191,0.19277,0.00114,0.0005,2.37401,4.21071,1.67248,0.0753525,0.00235251,0.00235251
15,21.6083,2.60665,3.58429,1.51808,0.00117,0.12048,0.00066,0.00034,2.38782,4.13918,1.66898,0.0734981,0.00249806,0.00249806
16,23.014,2.08869,3.06587,1.39075,0.00185,0.18675,0.0011,0.00045,2.27413,4.14216,1.63785,0.0716396,0.00263965,0.00263965
17,24.3791,2.39767,3.5685,1.54682,0.00134,0.13855,0.00076,0.00036,2.27897,4.20547,1.63861,0.0697773,0.00277728,0.00277728
18,25.8144,2.09133,2.83092,1.36323,0.00205,0.20482,0.00123,0.00052,2.24635,4.15079,1.63584,0.0679109,0.00291095,0.00291095
19,27.2285,2.05271,2.87332,1.3612,0.00201,0.20482,0.00121,0.00057,2.2563,4.18177,1.69317,0.0660407,0.00304066,0.00304066
20,28.6223,1.97944,2.69312,1.29241,0.00136,0.13855,0.00077,0.00031,2.30042,4.22545,1.60918,0.0641664,0.00316641,0.00316641
21,29.978,1.87304,2.59983,1.29604,0.00216,0.20482,0.0013,0.00057,2.22795,4.25325,1.63979,0.0622882,0.0032882,0.0032882
22,31.3391,1.99998,2.81694,1.26056,0.00136,0.13253,0.00077,0.00031,2.37674,4.3061,1.6399,0.060406,0.00340603,0.00340603
23,32.7107,2.13741,2.79236,1.33994,0.00188,0.19277,0.00112,0.00047,2.28575,4.1779,1.64977,0.0585199,0.0035199,0.0035199
